respondent_id,true_segment,age_group,gender,city_tier,occupation,income_bracket,education,cricket_role,practice_days,data_importance,fantasy_cricket,pod_interest,monthly_rec_spend,psm_too_cheap,psm_reasonable,psm_expensive,psm_too_expensive,membership_wtp,digital_spend,food_delivery_freq,influence_source,tech_adoption,distance_tolerance,preferred_timeslot,nps_score,pod_conversion,pod_conversion_binary,realistic_monthly_spend,use_academy,use_boxcricket,use_bowlingmachine,use_homenet,use_videoanalysis,use_mobilegame,use_gym,disc_freetrial,disc_buy5get1,disc_student,disc_family,disc_offpeak,disc_referral,disc_academy,disc_corporate,feat_ai,feat_bowlingmachine,feat_batspeed,feat_footwork,feat_videoreplay,feat_leaderboard,feat_progressreport,feat_appbooking,brand_mrf,brand_sg,brand_ss,brand_kookaburra,brand_graynicolls,brand_adidasnike,brand_decathlon,brand_nopref,addon_smartbat,addon_wearables,addon_aicoaching,addon_highlights,addon_fitness,addon_merch,stream_hotstar,stream_jiocinema,stream_netflix,stream_prime,stream_youtube,stream_sonyliv,act_gym,act_yoga,act_othersport,act_swimming,act_videogaming,act_running,past_boxcricket,past_trampoline,past_vr,past_bowling,past_gokarting,past_fitclass,past_academy,past_golf,frust_nodata,frust_coachattention,frust_timing,frust_crowded,frust_distance,frust_cost,frust_equipment,frust_notracking,bar_price,bar_location,bar_humancoach,bar_aidistrust,bar_time,bar_notserious,bar_academy,bar_safety,bar_social,hh_self,hh_child,hh_spouse,hh_sibling,hh_parent
R0011,Recreational_Adult,15-18,Male,Tier 2,Professional,75K-150K,Masters+,Competitive,1-2,3,Not interested,3,501-1000,50-99,200-249,200-299,400-499,Up to 499,1-200,3-4/week,Self,Laggard,Any distance,Evening,7,Yes - if price right,1.0,1269.0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,1,1,1
R0012,Sceptic,19-25,Male,Tier 2,Self-employed,40K-75K,Up to 10th,Occasional,0,4,Occasional,2,1-500,Below 50,150-199,200-299,300-399,Up to 499,1-200,Rarely,Celebrity,Laggard,Up to 5km,Evening,2,Unlikely,0.0,59.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0,1,0,0
R0013,Semi_Pro,15-18,Female,Metro,Salaried private,Below 20K,Masters+,Competitive,5-6,5,Occasional,3,2501-5000,50-99,250-299,400-499,500-599,2000-3000,201-500,1-2/week,Coach,Tech avoider,Up to 5km,Early morning,8,Maybe,,3626.0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0,0,1,0,0,1,0,1,1,0
R0014,Corporate_Fan,26-35,Male,Tier 1,Salaried private,40K-75K,12th/Diploma,Competitive,0,4,Occasional,4,1-500,100-149,,300-399,600-799,Up to 499,201-500,Daily,Self,Late majority,Up to 3km,Night,5,Maybe,,345.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0.0,,,0.0,,1.0,0.0,1.0,0.0,0.0,,0.0,0,0,0,0,0,1,0,0,1,0
R0015,Recreational_Adult,19-25,Male,Metro,School student,Above 150K,Bachelors,Regular,1-2,2,Aware not using,4,1-500,100-149,200-249,400-499,300-399,Up to 499,201-500,3-4/week,Parents/Family,Tech avoider,Within 1km,Night,7,Maybe,,508.0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,0.0,1,0,0,0,1,1,0,1,0,0
R0016,Rising_Star,15-18,Male,Metro,School student,Below 20K,Up to 10th,Regular,1-2,5,Active,4,1-500,Below 50,250-299,400-499,600-799,1000-1999,201-500,Rarely,Parents/Family,Early adopter,Up to 5km,Morning,8,Yes - if price right,1.0,146.0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1.0,,1.0,1.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0
R0017,Recreational_Adult,19-25,Male,Metro,Salaried govt,40K-75K,Masters+,Occasional,0,2,Active,1,2501-5000,150-199,200-249,400-499,500-599,500-999,0,1-2/week,Self,Early adopter,Up to 5km,Evening,6,Unlikely,0.0,2765.0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,1,0,0,0,0
R0018,Rising_Star,Under 15,Male,Tier 2,Salaried private,40K-75K,Bachelors,Regular,5-6,3,Occasional,4,1001-2500,,150-199,200-299,800+,1000-1999,201-500,1-2/week,Social media,Early majority,Up to 5km,Early morning,10,Maybe,,1729.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0
R0019,Corporate_Fan,26-35,Male,Tier 1,Salaried private,40K-75K,Masters+,Fan only,1-2,2,Active,2,1001-2500,100-149,250-299,400-499,500-599,Up to 499,Above 1000,1-2/week,Self,Late majority,Up to 5km,Night,6,Unlikely,0.0,1032.0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0.0,0.0,1.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,0,1,0
R0020,Semi_Pro,19-25,Male,Tier 3,Salaried private,40K-75K,12th/Diploma,Competitive,Daily,5,Aware not using,4,501-1000,150-199,200-249,400-499,500-599,1000-1999,201-500,Daily,Friends/Teammates,Early adopter,Within 1km,Night,9,Yes - definitely,1.0,1053.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,1,1,0,1,0,1,0,0
R0021,Corporate_Fan,36-50,Male,Tier 3,Salaried private,40K-75K,Bachelors,Occasional,0,2,Aware not using,4,Above 5000,150-199,250-299,600+,400-499,Would not subscribe,201-500,1-2/week,Social media,Early majority,Up to 5km,Early morning,8,Maybe,,4500.0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1.0,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0
R0022,Recreational_Adult,15-18,Male,Tier 3,Salaried private,20K-40K,Bachelors,Occasional,3-4,2,Active,1,2501-5000,150-199,200-249,300-399,400-499,Up to 499,1-200,1-2/week,Friends/Teammates,Tech avoider,Up to 10km,Night,5,No,0.0,2645.0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,,0.0,0.0,,1.0,,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,1,0,1,0,1,0,0
R0023,Sceptic,Under 15,Male,Metro,Professional,20K-40K,12th/Diploma,Coach,3-4,3,Not interested,1,1-500,50-99,150-199,300-399,300-399,1000-1999,1-200,3-4/week,Parents/Family,Laggard,Up to 5km,Early morning,3,Unlikely,0.0,247.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0,1,0,0,1,1,1,0,0,0
R0024,Corporate_Fan,26-35,Female,Tier 2,Salaried private,Above 150K,12th/Diploma,Fan only,1-2,2,Active,3,2501-5000,150-199,300-349,300-399,400-499,Would not subscribe,201-500,1-2/week,Self,Early majority,Up to 3km,Night,6,Unlikely,0.0,3040.0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0
R0025,Corporate_Fan,26-35,Female,Tier 2,Salaried private,40K-75K,Masters+,Occasional,5-6,4,Not interested,2,Above 5000,50-99,300-349,500-599,600-799,Up to 499,Above 1000,1-2/week,Social media,Early adopter,Up to 10km,Evening,4,Maybe,,4500.0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,0,0,0,1,0,1,1,0,1,0
R0026,Rising_Star,15-18,Female,Tier 3,College student,Below 20K,12th/Diploma,Regular,Daily,4,Not interested,4,501-1000,Below 50,200-249,400-499,300-399,Up to 499,201-500,3-4/week,Friends/Teammates,Late majority,Up to 3km,Morning,7,Yes - if price right,1.0,726.0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,0,0,0,1,1,0,0,0,0
R0027,Recreational_Adult,26-35,Male,Metro,Salaried private,Above 150K,Masters+,Occasional,3-4,4,Aware not using,5,1-500,150-199,250-299,400-499,300-399,Would not subscribe,201-500,1-2/week,Coach,Laggard,Up to 10km,Night,10,Yes - definitely,1.0,202.0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0,0,0,0,0,1,0,0,0,0
R0028,Rising_Star,15-18,Male,Metro,Salaried private,Below 20K,12th/Diploma,Competitive,Daily,4,Not interested,4,501-1000,50-99,300-349,400-499,400-499,2000-3000,1-200,1-2/week,Self,Late majority,Up to 5km,Evening,10,Yes - definitely,1.0,918.0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0.0,1.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0
R0029,Rising_Star,15-18,Male,Tier 3,Professional,75K-150K,Up to 10th,Competitive,5-6,5,Aware not using,5,501-1000,100-149,150-199,500-599,500-599,Up to 499,201-500,3-4/week,Parents/Family,Early adopter,Up to 5km,Early morning,9,Yes - definitely,1.0,1050.0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0.0,0.0,1.0,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0
R0030,Semi_Pro,19-25,Female,Metro,Salaried private,40K-75K,Bachelors,Competitive,5-6,5,Active,5,2501-5000,100-149,200-249,500-599,600-799,1000-1999,1-200,Daily,Self,Early majority,Up to 3km,Evening,10,Yes - definitely,1.0,4328.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0
R0031,Semi_Pro,Under 15,Male,Tier 1,Salaried private,40K-75K,12th/Diploma,Competitive,Daily,5,Active,5,1001-2500,200-249,,,500-599,2000-3000,201-500,Daily,Self,Early majority,Up to 10km,Early morning,9,Yes - definitely,1.0,2019.0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1.0,1.0,,1.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0
R0032,Sceptic,26-35,Male,Tier 1,Salaried private,40K-75K,Bachelors,Competitive,1-2,3,Active,2,0,50-99,150-199,200-299,300-399,Would not subscribe,1-200,Rarely,Parents/Family,Tech avoider,Up to 5km,Night,3,Unlikely,0.0,100.0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0
R0033,Recreational_Adult,19-25,Male,Metro,Salaried private,75K-150K,Masters+,Occasional,0,5,Occasional,5,501-1000,50-99,200-249,500-599,400-499,Would not subscribe,201-500,1-2/week,Friends/Teammates,Late majority,Up to 3km,Morning,9,Yes - if price right,1.0,803.0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0
R0034,Recreational_Adult,19-25,Male,Metro,Salaried private,20K-40K,12th/Diploma,Occasional,1-2,3,Occasional,3,1001-2500,100-149,200-249,400-499,500-599,Up to 499,201-500,3-4/week,Friends/Teammates,Late majority,Up to 3km,Evening,5,Unlikely,0.0,1399.0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,1,0,1,0,0
R0035,Recreational_Adult,15-18,Male,Rural,School student,Above 150K,Bachelors,Regular,1-2,3,Occasional,3,0,50-99,200-249,600+,400-499,Would not subscribe,501-1000,1-2/week,Friends/Teammates,Early majority,Up to 10km,Evening,8,Yes - if price right,1.0,25.0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0,0,1,0,0,1,0,0,0,0
R0036,Rising_Star,19-25,Male,Tier 3,Self-employed,75K-150K,Bachelors,Competitive,5-6,4,Aware not using,4,501-1000,50-99,150-199,300-399,300-399,Up to 499,1-200,1-2/week,Coach,Early adopter,Up to 5km,Afternoon,7,Yes - definitely,1.0,1053.0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0
R0037,Rising_Star,26-35,Male,Tier 3,College student,75K-150K,12th/Diploma,Competitive,1-2,4,Occasional,4,0,100-149,150-199,600+,600-799,500-999,501-1000,3-4/week,Coach,Late majority,Up to 5km,Afternoon,7,Yes - definitely,1.0,0.0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,1,0
R0038,Recreational_Adult,15-18,Female,Metro,Salaried private,40K-75K,Bachelors,Occasional,1-2,3,Active,4,1001-2500,200-249,100-149,200-299,300-399,Would not subscribe,201-500,1-2/week,Parents/Family,Late majority,Within 1km,Evening,7,Maybe,,1467.0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
R0039,Rising_Star,15-18,Male,Metro,School student,20K-40K,Bachelors,Competitive,3-4,2,Active,4,1-500,150-199,200-249,400-499,300-399,500-999,201-500,Daily,Friends/Teammates,Early adopter,Up to 3km,Evening,10,Yes - if price right,1.0,323.0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0
R0040,Semi_Pro,26-35,Male,Tier 1,Salaried govt,40K-75K,Bachelors,Regular,1-2,4,Not interested,5,1-500,50-99,200-249,400-499,400-499,2000-3000,201-500,Rarely,Parents/Family,Late majority,Up to 10km,Early morning,10,Yes - definitely,1.0,277.0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
